date,open,high,low,close,volume,hold,settle
2021-06-28,3550.0,3578.0,3490.0,3510.0,623026,370726,3530.0
2021-06-29,3508.0,3522.0,3462.0,3476.0,444348,348991,3484.0
2021-06-30,3498.0,3522.0,3468.0,3494.0,393951,341547,3494.0
2021-07-01,3518.0,3526.0,3440.0,3452.0,525057,331998,3482.0
2021-07-02,3504.0,3552.0,3474.0,3488.0,475762,332052,3504.0
2021-07-05,3492.0,3562.0,3470.0,3550.0,463617,351714,3520.0
2021-07-06,3554.0,3618.0,3514.0,3584.0,484593,342802,3566.0
2021-07-07,3556.0,3566.0,3394.0,3416.0,737227,314634,3466.0
2021-07-08,3428.0,3440.0,3334.0,3358.0,646036,300112,3380.0
2021-07-09,3368.0,3430.0,3352.0,3414.0,430438,286930,3386.0
2021-07-12,3428.0,3488.0,3414.0,3434.0,444677,272043,3452.0
2021-07-13,3412.0,3458.0,3402.0,3438.0,320132,271938,3432.0
2021-07-14,3420.0,3456.0,3402.0,3414.0,418421,280763,3424.0
2021-07-15,3424.0,3426.0,3212.0,3218.0,989304,380203,3290.0
2021-07-16,3210.0,3244.0,3192.0,3224.0,596019,388352,3222.0
2021-07-19,3244.0,3262.0,3168.0,3250.0,642148,380212,3232.0
2021-07-20,3186.0,3214.0,3130.0,3146.0,689537,386711,3164.0
2021-07-21,3122.0,3148.0,3066.0,3112.0,650009,408609,3118.0
2021-07-22,3150.0,3192.0,3130.0,3174.0,566803,404091,3164.0
2021-07-23,3182.0,3208.0,3156.0,3162.0,507538,406863,3178.0
2021-07-26,3162.0,3174.0,3100.0,3104.0,585824,409090,3142.0
2021-07-27,3120.0,3198.0,3116.0,3176.0,507486,378265,3162.0
2021-07-28,3184.0,3256.0,3162.0,3238.0,542692,337936,3218.0
2021-07-29,3244.0,3290.0,3240.0,3282.0,431624,302583,3270.0
2021-07-30,3286.0,3334.0,3276.0,3282.0,512601,251776,3302.0
2021-08-02,3284.0,3318.0,3202.0,3292.0,544785,214525,3262.0
2021-08-03,3288.0,3320.0,3206.0,3224.0,475198,206431,3252.0
2021-08-04,3188.0,3260.0,3174.0,3244.0,393556,195974,3218.0
2021-08-05,3212.0,3252.0,3194.0,3216.0,442277,196382,3220.0
2021-08-06,3238.0,3326.0,3234.0,3314.0,495965,190218,3286.0
2021-08-09,3320.0,3332.0,3112.0,3120.0,658554,191822,3190.0
2021-08-10,3096.0,3150.0,3088.0,3140.0,394146,192350,3122.0
2021-08-11,3138.0,3188.0,3124.0,3186.0,326011,165826,3158.0
2021-08-12,3168.0,3222.0,3150.0,3198.0,300042,145209,3184.0
2021-08-13,3186.0,3208.0,3148.0,3178.0,230279,138343,3182.0
