date,open,high,low,close,volume,hold,settle
2021-06-28,4759.0,4844.0,4758.0,4838.0,193983,160629,4816.0
2021-06-29,4839.0,4842.0,4805.0,4822.0,106961,155041,4819.0
2021-06-30,4823.0,4850.0,4810.0,4835.0,106393,158652,4829.0
2021-07-01,4847.0,4859.0,4811.0,4851.0,140997,162804,4836.0
2021-07-02,4832.0,4847.0,4682.0,4705.0,378024,178004,4738.0
2021-07-05,4706.0,4720.0,4672.0,4682.0,166546,179187,4700.0
2021-07-06,4670.0,4708.0,4655.0,4695.0,164657,186224,4688.0
2021-07-07,4688.0,4707.0,4595.0,4626.0,294751,205790,4642.0
2021-07-08,4627.0,4660.0,4608.0,4635.0,148949,202435,4630.0
2021-07-09,4635.0,4646.0,4576.0,4582.0,172724,207941,4612.0
2021-07-12,4595.0,4645.0,4566.0,4613.0,180580,196488,4610.0
2021-07-13,4600.0,4613.0,4550.0,4565.0,203568,202996,4575.0
2021-07-14,4590.0,4640.0,4571.0,4622.0,150042,187790,4609.0
2021-07-15,4636.0,4683.0,4612.0,4652.0,154422,177585,4646.0
2021-07-16,4652.0,4686.0,4635.0,4655.0,120803,175736,4663.0
2021-07-19,4620.0,4644.0,4560.0,4604.0,198326,168944,4603.0
2021-07-20,4604.0,4680.0,4602.0,4659.0,139275,162295,4643.0
2021-07-21,4683.0,4716.0,4611.0,4626.0,152878,161223,4649.0
2021-07-22,4632.0,4642.0,4565.0,4570.0,159262,178737,4601.0
2021-07-23,4575.0,4597.0,4498.0,4504.0,195416,183964,4545.0
2021-07-26,4535.0,4655.0,4535.0,4642.0,237398,146620,4609.0
2021-07-27,4655.0,4673.0,4625.0,4634.0,123873,139649,4645.0
2021-07-28,4634.0,4653.0,4532.0,4571.0,194395,138983,4581.0
2021-07-29,4590.0,4639.0,4570.0,4587.0,143270,132740,4602.0
2021-07-30,4599.0,4602.0,4550.0,4560.0,121305,137498,4574.0
2021-08-02,4582.0,4620.0,4552.0,4599.0,165617,125094,4591.0
2021-08-03,4616.0,4644.0,4605.0,4613.0,141296,120463,4623.0
2021-08-04,4620.0,4685.0,4615.0,4634.0,173956,112943,4648.0
2021-08-05,4618.0,4627.0,4565.0,4584.0,143390,111362,4591.0
2021-08-06,4584.0,4618.0,4552.0,4577.0,106298,107957,4579.0
2021-08-09,4601.0,4628.0,4542.0,4560.0,161026,106831,4590.0
2021-08-10,4560.0,4570.0,4535.0,4546.0,81327,109149,4555.0
2021-08-11,4525.0,4545.0,4446.0,4455.0,171534,118710,4476.0
2021-08-12,4455.0,4493.0,4453.0,4474.0,108962,97854,4471.0
2021-08-13,4460.0,4496.0,4455.0,4470.0,64387,90276,4474.0
2021-08-16,4458.0,4478.0,4413.0,4432.0,69960,81103,4444.0
2021-08-17,4433.0,4450.0,4363.0,4371.0,64327,70909,4394.0
2021-08-18,4400.0,4410.0,4370.0,4396.0,38912,64041,4392.0
2021-08-19,4310.0,4374.0,4280.0,4351.0,139549,134369,4339.0
2021-08-20,4351.0,4365.0,4327.0,4329.0,84058,138318,4341.0
2021-08-23,4321.0,4382.0,4229.0,4352.0,283763,138443,4299.0
2021-08-24,4350.0,4428.0,4346.0,4414.0,181562,121014,4392.0
2021-08-25,4415.0,4444.0,4383.0,4390.0,123641,112728,4415.0
2021-08-26,4404.0,4417.0,4365.0,4373.0,94931,114062,4394.0
2021-08-27,4375.0,4398.0,4356.0,4369.0,85411,113586,4378.0
2021-08-30,4377.0,4417.0,4323.0,4348.0,156355,115479,4369.0
2021-08-31,4360.0,4379.0,4330.0,4370.0,76670,117705,4356.0
2021-09-01,4380.0,4407.0,4357.0,4364.0,118333,123487,4383.0
2021-09-02,4378.0,4399.0,4344.0,4376.0,111066,121337,4376.0
2021-09-03,4390.0,4415.0,4360.0,4374.0,128156,123853,4386.0
2021-09-06,4376.0,4397.0,4327.0,4358.0,156860,124710,4363.0
2021-09-07,4358.0,4383.0,4351.0,4367.0,80788,120651,4366.0
2021-09-08,4367.0,4367.0,4311.0,4330.0,116027,127745,4337.0
2021-09-09,4341.0,4400.0,4333.0,4396.0,128343,122847,4370.0
2021-09-10,4385.0,4390.0,4366.0,4374.0,82776,121986,4376.0
2021-09-13,4376.0,4390.0,4293.0,4310.0,158731,137141,4337.0
2021-09-14,4305.0,4326.0,4303.0,4313.0,60859,132605,4315.0
2021-09-15,4313.0,4380.0,4309.0,4368.0,121688,117390,4348.0
2021-09-16,4385.0,4389.0,4344.0,4366.0,84690,113890,4365.0
2021-09-17,4366.0,4443.0,4364.0,4412.0,189656,124527,4406.0
2021-09-22,4420.0,4465.0,4403.0,4448.0,125696,132957,4438.0
2021-09-23,4448.0,4455.0,4427.0,4442.0,68839,130219,4441.0
2021-09-24,4436.0,4485.0,4419.0,4439.0,142954,125855,4448.0
2021-09-27,4425.0,4425.0,4333.0,4343.0,172036,101909,4364.0
2021-09-28,4345.0,4359.0,4323.0,4333.0,77824,100513,4341.0
2021-09-29,4339.0,4373.0,4317.0,4355.0,75709,92020,4353.0
2021-09-30,4355.0,4375.0,4322.0,4360.0,73367,81254,4351.0
2021-10-08,4303.0,4424.0,4243.0,4391.0,184482,88073,4325.0
2021-10-11,4394.0,4496.0,4394.0,4491.0,173358,120146,4439.0
2021-10-12,4480.0,4500.0,4445.0,4466.0,121705,123365,4473.0
2021-10-13,4490.0,4510.0,4421.0,4460.0,129539,121197,4465.0
2021-10-14,4470.0,4524.0,4461.0,4482.0,169462,131856,4488.0
2021-10-15,4500.0,4548.0,4476.0,4505.0,159381,131211,4511.0
2021-10-18,4553.0,4613.0,4530.0,4563.0,182045,137568,4573.0
2021-10-19,4563.0,4603.0,4536.0,4543.0,126108,136106,4573.0
2021-10-20,4530.0,4596.0,4508.0,4576.0,132812,139376,4565.0
2021-10-21,4579.0,4620.0,4568.0,4585.0,133044,137196,4590.0
2021-10-22,4595.0,4695.0,4581.0,4688.0,291384,153210,4644.0
2021-10-25,4740.0,4796.0,4680.0,4694.0,276682,163653,4743.0
2021-10-26,4715.0,4772.0,4659.0,4771.0,179827,157788,4720.0
2021-10-27,4759.0,4762.0,4468.0,4544.0,298082,136887,4609.0
2021-10-28,4550.0,4559.0,4480.0,4514.0,143944,128954,4521.0
2021-10-29,4501.0,4508.0,4438.0,4445.0,136586,126298,4474.0
2021-11-01,4480.0,4494.0,4461.0,4473.0,99894,124079,4476.0
2021-11-02,4494.0,4596.0,4462.0,4587.0,204372,120561,4528.0
2021-11-03,4598.0,4635.0,4558.0,4623.0,138121,118730,4597.0
2021-11-04,4620.0,4647.0,4465.0,4477.0,209448,128003,4540.0
2021-11-05,4477.0,4505.0,4450.0,4475.0,111672,123241,4480.0
2021-11-08,4490.0,4504.0,4430.0,4478.0,124289,121923,4472.0
2021-11-09,4491.0,4520.0,4472.0,4485.0,115629,117291,4489.0
2021-11-10,4490.0,4547.0,4475.0,4507.0,174593,120571,4509.0
2021-11-11,4506.0,4506.0,4455.0,4469.0,103248,114988,4476.0
2021-11-12,4457.0,4590.0,4456.0,4590.0,186815,119824,4546.0
2021-11-15,4578.0,4597.0,4550.0,4561.0,103063,116865,4568.0
2021-11-16,4562.0,4605.0,4556.0,4598.0,113193,117747,4580.0
2021-11-17,4592.0,4629.0,4575.0,4596.0,118722,120418,4601.0
2021-11-18,4606.0,4650.0,4602.0,4640.0,110657,126648,4631.0
2021-11-19,4632.0,4634.0,4550.0,4589.0,110958,117989,4587.0
2021-11-22,4556.0,4556.0,4496.0,4526.0,117677,108316,4518.0
2021-11-23,4540.0,4574.0,4511.0,4518.0,86114,101925,4549.0
2021-11-24,4526.0,4550.0,4512.0,4542.0,63882,106518,4533.0
2021-11-25,4520.0,4545.0,4476.0,4528.0,83185,104404,4520.0
2021-11-26,4520.0,4577.0,4490.0,4514.0,135367,95687,4531.0
2021-11-29,4521.0,4524.0,4406.0,4424.0,116272,94975,4463.0
2021-11-30,4409.0,4418.0,4362.0,4369.0,93796,87699,4387.0
2021-12-01,4370.0,4380.0,4328.0,4334.0,68602,87213,4355.0
2021-12-02,4315.0,4357.0,4308.0,4340.0,69448,84448,4333.0
2021-12-03,4343.0,4355.0,4288.0,4302.0,73072,83921,4322.0
2021-12-06,4325.0,4368.0,4307.0,4312.0,60259,77192,4337.0
2021-12-07,4335.0,4359.0,4311.0,4338.0,50704,74497,4333.0
2021-12-08,4333.0,4335.0,4212.0,4247.0,87153,78372,4264.0
2021-12-09,4259.0,4263.0,4133.0,4159.0,96788,73299,4187.0
2021-12-10,4145.0,4213.0,4135.0,4186.0,68826,60146,4182.0
2021-12-13,4130.0,4185.0,4123.0,4153.0,82430,110385,4152.0
2021-12-14,4137.0,4153.0,4082.0,4110.0,120594,123564,4115.0
2021-12-15,4106.0,4146.0,4091.0,4115.0,70595,121122,4120.0
2021-12-16,4115.0,4143.0,4106.0,4112.0,74321,123901,4126.0
2021-12-17,4116.0,4163.0,4087.0,4108.0,119092,133459,4124.0
2021-12-20,4090.0,4127.0,4033.0,4042.0,124425,144868,4082.0
2021-12-21,4050.0,4078.0,4045.0,4065.0,66780,139388,4061.0
2021-12-22,4067.0,4098.0,4050.0,4089.0,96445,133613,4075.0
2021-12-23,4095.0,4109.0,4063.0,4081.0,62235,133979,4082.0
2021-12-24,4080.0,4146.0,4075.0,4118.0,111669,123836,4121.0
2021-12-27,4105.0,4124.0,4053.0,4120.0,106517,122268,4087.0
2021-12-28,4120.0,4131.0,4077.0,4085.0,75243,126126,4102.0
