date,open,high,low,close,volume,hold,settle
2015-06-26,9685.0,9920.0,9680.0,9870.0,1059966,580046,9830.0
2015-06-29,9865.0,9885.0,9510.0,9785.0,1275490,546538,9710.0
2015-06-30,9730.0,9875.0,9665.0,9855.0,987974,554654,9775.0
2015-07-01,9865.0,9995.0,9835.0,9910.0,785576,537446,9915.0
2015-07-02,9915.0,9915.0,9915.0,9915.0,619352,536312,9855.0
2015-07-03,9880.0,9960.0,9800.0,9900.0,1018180,478530,9890.0
2015-07-06,9820.0,9850.0,9555.0,9635.0,1157054,460958,9710.0
2015-07-07,9515.0,9560.0,9325.0,9325.0,917928,465556,9450.0
2015-07-08,9055.0,9180.0,8885.0,8885.0,791374,411950,8990.0
2015-07-09,9135.0,9605.0,9110.0,9515.0,1070770,343690,9385.0
2015-07-10,9535.0,9755.0,9465.0,9550.0,856314,344544,9590.0
2015-07-13,9515.0,9560.0,9390.0,9480.0,621488,380462,9465.0
2015-07-14,9500.0,9630.0,9425.0,9445.0,650584,362940,9530.0
2015-07-15,9570.0,9605.0,9450.0,9485.0,585200,361984,9520.0
2015-07-16,9420.0,9425.0,9265.0,9315.0,693942,358580,9320.0
2015-07-17,9285.0,9345.0,9220.0,9290.0,500810,365276,9290.0
2015-07-20,9295.0,9370.0,9210.0,9330.0,521088,360372,9285.0
2015-07-21,9305.0,9315.0,9195.0,9270.0,503300,372848,9245.0
2015-07-22,9270.0,9410.0,9240.0,9400.0,749768,370268,9330.0
2015-07-23,9340.0,9425.0,9320.0,9365.0,560050,354426,9370.0
2015-07-24,9325.0,9330.0,9100.0,9110.0,761236,328746,9200.0
2015-07-27,9090.0,9100.0,8835.0,8835.0,683066,314136,8895.0
2015-07-28,8600.0,8860.0,8600.0,8860.0,742356,277636,8755.0
2015-07-29,8920.0,9075.0,8910.0,8965.0,606616,278838,8990.0
2015-07-30,9050.0,9120.0,8905.0,8920.0,460166,268898,9025.0
